#
#  lco_lactis_1064-c11_scyc 1.0 Reactions link table generated on Tue Oct 24, 2023
#
RXN-19554	EC-4.4.1.13
RXN-19553	
ENOYL-ACP-REDUCT-NADH-RXN	EC-1.3.1.9
RXN-9657	EC-1.3.1.9
S-ALKYLCYSTEINE-LYASE-RXN	EC-4.4.1.13
RXN-15577	
RXN-19560	EC-4.4.1.13
RXN-19559	
RXN-19550	EC-4.4.1.13
RXN-19548	
RXN0-5330	EC-1.6.5.9
RXN-9660	EC-1.3.1.9
GLUCOSE-1-PHOSPHAT-RXN	EC-3.1.3.10
RXN-19556	EC-4.4.1.13
GLUCONOLACT-RXN	EC-3.1.1.17
RXN-19555	
RXN0-6373	EC-1.1.5.2
RXN-16650	EC-2.4.1.129
NAG1P-URIDYLTRANS-RXN	EC-2.7.7.23
RXN-6763	EC-4.4.1.13
RXN-9024	EC-3.2.1.3
RXN-15582	
RXN-11350	EC-2.4.1.129
CYSTATHIONINE-BETA-LYASE-RXN	EC-4.4.1.13
RXN-15131	
RXN-9663	EC-1.3.1.9
RXN0-6372	
RXN-22557	EC-2.4.1.129
6PGLUCONDEHYDROG-RXN	EC-1.1.1.351
RXN-19562	EC-4.4.1.13
ACETALD-DEHYDROG-RXN	EC-1.2.1.10
RXN-19561	
RXN-12729	EC-4.4.1.13
RXN-15137	
RXN-19552	EC-4.4.1.13
RXN-9548	EC-3.1.2.14
RXN-19551	
RXN0-5419	
RXN-9590	EC-2.3.1.274
RXN-21299	EC-3.4.24
RXN-18212	EC-4.4.1.13
DIACYLGLYKIN-RXN	EC-2.7.1.107
RXN-19582	
QUINOPRIBOTRANS-RXN	EC-2.4.2.19
RXN-19558	EC-4.4.1.13
RXN-14381	
RXN-19557	
RXN-14384	EC-2.8.1
RXN-15124	
RXN-5721	
RXN-14386	EC-2.8.1
NMNNUCLEOSID-RXN	EC-3.2.2.14	EC-3.2.2.6
RXN-14387	
RXN-14388	
RXN-14389	
RXN-14390	
RXN-14391	EC-3.6.4
RXN-15714	EC-6.2.1
PREPHENATEDEHYDRAT-RXN	EC-4.2.1.51
RXN-9659	EC-1.3.1.9
KETOBUTFORMLY-RXN	EC-2.3.1
SHIKIMATE-KINASE-RXN	EC-2.7.1.71
PTAALT-RXN	EC-2.3.1.222
2.5.1.19-RXN	EC-2.5.1.19
PREPHENATEDEHYDROG-RXN	EC-1.3.1.12
2.7.13.3-RXN	EC-2.7.13.3
CHORISMATE-SYNTHASE-RXN	EC-4.2.3.5
RXN-9662	EC-1.3.1.9
3-DEHYDROQUINATE-SYNTHASE-RXN	EC-4.2.3.4
RXN-20673	
RXN-20674	
PANTOATE-BETA-ALANINE-LIG-RXN	EC-6.3.2.1
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	EC-2.1.2.11
HOMSUCTRAN-RXN	EC-2.3.1.46
SHIKIMATE-5-DEHYDROGENASE-RXN	EC-1.1.1.25
RIBULP3EPIM-RXN	EC-5.1.3.1
RXN-22715	EC-5.1.3.1
RXN-16632	EC-1.3.1.9
ATPSYN-RXN	EC-7.1.2.2
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	EC-3.1.2.12
3.2.1.14-RXN	EC-3.2.1.14
ADENYLOSUCCINATE-SYNTHASE-RXN	EC-6.3.4.4
RXN-17778	EC-2.3.1.16
RXN-9382	EC-2.3.1.183
ASPARTATE--TRNA-LIGASE-RXN	EC-6.1.1.23	EC-6.1.1.12
HISTIDINE--TRNA-LIGASE-RXN	EC-6.1.1.21
PHOSPHAGLYPSYN-RXN	EC-2.7.8.5
UDPGLUCEPIM-RXN	EC-5.1.3.2
RXN-10837	EC-2.3.1.183
RXN-12398	EC-3.2.1.23
S-ADENMETSYN-RXN	EC-2.5.1.6
RXN-17782	EC-2.3.1.16
3.2.1.23-RXN	EC-3.2.1.23
RXN-14274	EC-2.3.1.16
RXN-8529	EC-5.3.2.6
RXN-19765	EC-3.2.1.23
THIAMINASE-RXN	EC-3.5.99.2
MANNONOXIDOREDUCT-RXN	EC-1.1.1.57
RXN-10245	EC-5.3.2.6
RXN-12613	EC-3.5.99.2
ALTRODEHYDRAT-RXN	EC-4.2.1.7
ALTRO-OXIDOREDUCT-RXN	EC-1.1.1.58
BIOTINLIG-RXN	EC-6.3.4.15
RXN-13459	EC-5.3.2.6
RXN0-7192	
RXN-22002	
RXN-12400	EC-3.2.1.23
3.1.26.4-RXN	EC-3.1.26.4
RXN-12399	EC-3.2.1.23
3.2.1.131-RXN	EC-3.2.1.131
GALACTOKIN-RXN	EC-2.7.1.6
RXN-11290	EC-3.5.1.104
ALDOSE1EPIM-RXN	EC-5.1.3.3
3.2.1.156-RXN	EC-3.2.1.156
ALDOSE-1-EPIMERASE-RXN	EC-5.1.3.3
RXN-13617	EC-2.3.1.16
GLYCERATE-DEHYDROGENASE-RXN	EC-1.1.1.29
RXN-11599	EC-2.1.1.188
2.1.1.72-RXN	EC-2.1.1.72
RXN-12565	EC-2.3.1.16	EC-2.3.1.9
RXN-14394	EC-2.3.1.16
MALTACETYLTRAN-RXN	EC-2.3.1.79
ACETYL-COA-ACETYLTRANSFER-RXN	EC-2.3.1.16	EC-2.3.1.9
RXN-8668	EC-1.8.4.11
4.1.1.74-RXN	EC-4.1.1.74
RXN-20154	
RXN-20155	
RXN-12002	EC-2.7.4.22	EC-2.7.4.14
PABASYN-RXN	EC-2.6.1.85
RXN-22713	
ACETATEKIN-RXN	EC-2.7.2.15	EC-2.7.2.1
2-DEHYDROPANTOATE-REDUCT-RXN	EC-1.1.1.169
PROPKIN-RXN	EC-2.7.2.7	EC-2.7.2.1	EC-2.7.2.15	EC-2.7.2.14
PYRIDOXINE-4-DEHYDROGENASE-RXN	EC-1.1.1.65
RXN-22913	EC-1.1.1.169
GLUCOKIN-RXN	EC-2.7.1.1	EC-2.7.1.2
RXN-11573	EC-2.1.1.187
RXN-14636	EC-4.2.1.145
RXN-9518	EC-1.1.1.100
PEPDEPHOS-RXN	EC-2.7.1.40
RXN-20153	EC-2.3.1.16
RXN-14117	EC-2.7.1.40
RXN-20150	
RXN-20152	
ORNCARBAMTRANSFER-RXN	EC-2.1.3.3
RXN-14207	EC-2.7.1.40
ARGININE-DEIMINASE-RXN	EC-3.5.3.6
RXN-14192	EC-2.7.1.40
ARGININE--TRNA-LIGASE-RXN	EC-6.1.1.19
6PFRUCTPHOS-RXN	EC-2.7.1.11
UDP-NACMUR-ALA-LIG-RXN	EC-6.3.2.8
3.5.1.80-RXN	EC-3.5.1.25
1.2.3.3-RXN	EC-1.2.3.3
3.4.14.11-RXN	EC-3.4.14.11
NAG6PDEACET-RXN	EC-3.5.1.25
GLURS-RXN	EC-6.1.1.17
GLYC3PDEHYDROGBIOSYN-RXN	EC-1.1.1.94
RXN-11751	EC-3.5.2.19
RXN-14277	EC-2.3.1.16
3-OXOACYL-ACP-REDUCT-RXN	EC-1.1.1.100
GLUC1PURIDYLTRANS-RXN	EC-2.7.7.64	EC-2.7.7.9
TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN	EC-2.5.1.30
RXN0-949	EC-2.8.1.8
OROTPDECARB-RXN	EC-4.1.1.23
OROTATE-REDUCTASE-NADH-RXN	EC-1.3.1.14
RXN-22613	EC-3.5.1.28
RXN-13032	EC-2.3.1.200
RXN-13031	EC-3.5.1
CEPHALOSPORIN-C-DEACETYLASE-RXN	EC-3.1.1.41
RXN-16938	EC-3.5.1.28
RXN0-5225	EC-3.5.1.28
RXN-11834	EC-5.4.99.20
RXN-9540	EC-1.1.1.100
CARBPSYN-RXN	EC-6.3.5.5
RXN-14267	EC-3.5.1.28
RXN-9633	EC-1.1.1.100
GLUTAMIN-RXN	EC-3.5.1.38	EC-3.5.1.2
RXN-22735	EC-6.3.4.16
RXN-16909	
RXN-22736	
3.4.24.32-RXN	EC-3.5.1.28	EC-3.4.24.32
RXN0-5223	EC-2.7.1
CHORISMATEMUT-RXN	EC-5.4.99.5
3.4.21.88-RXN	EC-3.4.21.88
RXN-982	EC-1.20.4.1
RXN-21024	
TRANS-RXN0-286	
RXN-21025	
RXN0-7388	EC-5.6.2
RXN-21026	
RXN-16630	EC-1.1.1.100
RXN-21027	
ADENYL-KIN-RXN	EC-2.7.4.3
THRESYN-RXN	EC-4.2.3.1
RXN-11187	EC-2.8.4.2
RXN-11838	EC-5.4.99.24
RXN-22365	
TRANS-RXN-395	
CYSPH-RXN	EC-2.5.1.48
PROLINE--TRNA-LIGASE-RXN	EC-6.1.1.15
O-SUCCHOMOSERLYASE-RXN	EC-2.5.1.48
CDPDIGLYSYN-RXN	EC-2.7.7.41
RXN1YI0-21	
RXN-18602	EC-2.5.1.48
DURIDKI-RXN	EC-2.7.1.145	EC-2.7.1.21
RXN0-5515	EC-2.7.7.41
RXN-9384	EC-2.5.1.48
THYKI-RXN	EC-2.7.1.145	EC-2.7.1.21
ACETYLHOMOSER-CYS-RXN	EC-2.5.1.49
RXN-20524	EC-2.7.7.41
O-ACETYLHOMOSERINE-THIOL-LYASE-RXN	EC-2.5.1.49
RXN-12444	EC-1.5.1.38
RXN-11592	EC-2.1.1.177
RXN-9536	EC-1.1.1.100
RXN-14569	EC-2.7.7.87
RXN-21078	EC-4.1.1.102
RXN-15745	EC-1.1.5.3
3.4.21.107-RXN	EC-3.4.21.107
TRANS-RXN-131	
RXN0-5257	
GLYOHMETRANS-RXN	EC-2.1.2.1
2.4.1.208-RXN	EC-2.4.1.208
RXN-802	EC-4.1.1.102
PSERTRANSAMPYR-RXN	EC-2.6.1.52
2.4.1.157-RXN	EC-2.4.1.337
RXN-801	EC-4.1.1.102
PSERTRANSAM-RXN	EC-2.6.1.52
RXN-12480	EC-2.1.1.223
RXN-9524	EC-1.1.1.100
RXN-12309	EC-3.2.1.200
PGLYCDEHYDROG-RXN	EC-1.1.1.95
SEDOBISALDOL-RXN	EC-4.1.2.13
RXN0-1281	EC-1.1.1
RXN-19916	EC-4.1.2.13
ACYLPHOSPHATASE-RXN	EC-3.6.1.7
RXN0-5410	EC-1.1.1
RXN-9528	EC-1.1.1.100
RXN-11588	EC-2.1.1.185
RXN-21561	
HEXOKINASE-RXN	EC-2.7.1.1
RXN-8631	EC-4.1.2.13
RXN0-3461	EC-3.4
CATAL-RXN	EC-1.11.1.6	EC-1.11.1.21
RXN-17875	EC-3.4.11.18
F16ALDOLASE-RXN	EC-4.1.2.13
LYSDECARBOX-RXN	EC-4.1.1.18
2.1.1.79-RXN	EC-2.1.1.79
RXN-9532	EC-1.1.1.100
RXN-17878	EC-3.4.11.18
RXN0-7081	
RXN1G-2544	EC-2.1.1.79
RXN-20757	
RXN0-5144	EC-2.1.1.61
RXN-18710	
RXN-18708	EC-2.8.1
RXN-8999	EC-2.5.1.31
RXN-18709	EC-2.8.1
RXN-17874	EC-3.4.11.18
RXN-7421	EC-2.1.1.79
RXN0-5289	EC-1.1.1
RXN-20755	
RXN-20756	
RXN-9514	EC-1.1.1.100
DISULFOXRED-RXN	EC-1.8.4
RXN-22699	EC-2.8.1
RXN-17877	EC-3.4.11.18
RXN1G01-65	EC-2.1.1.79
RXN-14515	
MANNITOL-1-PHOSPHATASE-RXN	EC-3.1.3.22
RXN-17873	EC-3.4.11.18
RXN-14169	EC-1.2.1.42
RXN-21950	EC-1.2.1.42
RXN1G-3641	EC-2.1.1.79
1.2.1.42-RXN	EC-1.2.1.42
3.4.11.18-RXN	EC-3.4.11.18
UDPKIN-RXN	EC-2.7.4.6
RXN-20179	EC-1.1.98.7
RXN-17876	EC-3.4.11.18
